fighter_name,height,weight_lbs,reach_inches,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,age
Anatoly Tokov,70.0,185.0,72.0,3.51,72,0.54,66,2.03,100,100,0.0,36.550308008213555
Anelya Toktogonova,62.0,115.0,63.0,1.16,50,2.03,39,0.0,0,10,2.2,21.097878165639973
Puja Tomar,61.0,115.0,59.0,5.27,49,5.42,46,0.0,0,75,0.0,32.75290896646133
Kazuki Tokudome,71.0,155.0,73.0,2.26,41,3.63,53,2.0,38,78,0.0,39.50992470910335
Masanori Tonooka,68.0,185.0,72.0,0.16,5,1.09,36,0.0,0,0,0.0,53.28405201916495
James Toney,69.0,220.0,72.0,0.0,0,2.41,27,0.0,0,0,0.0,58.03422313483915
Carl Toomey,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,54.47775496235455
Anthony Torres,68.0,170.0,72.0,3.54,48,7.52,45,0.0,0,100,2.2,48.101300479123886
Aleksandre Topuria,67.0,135.0,68.0,2.93,55,2.57,68,1.5,33,100,0.0,30.60643394934976
Ilia Topuria,67.0,155.0,69.0,4.82,50,3.97,62,1.73,57,95,0.9,29.623545516769337
Ronys Torres,67.0,155.0,72.0,0.87,26,1.93,57,4.0,47,16,0.5,51.06639288158795
Abram Torres,70.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,43.854893908282
Alex Torres,70.0,145.0,72.0,2.47,37,2.73,69,2.0,22,50,0.0,38.27241615331965
Minoru Toyonaga,71.0,195.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,48.23545516769336
Jose Torres,64.0,125.0,65.0,4.37,36,9.84,50,1.28,33,75,0.0,34.09445585215606
Salim Touahri,70.0,170.0,72.0,2.6,46,2.87,58,0.0,0,83,0.0,36.93908281998631
Dequan Townsend,75.0,205.0,79.0,1.23,34,3.92,38,0.0,0,46,0.0,40.323066392881586
Desmond Torres,66.0,135.0,69.0,4.8,64,11.78,48,0.0,0,100,0.0,29.66461327857632
Slim Trabelsi,75.0,235.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,33.327857631759066
Haven Torres,70.0,125.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Manuel Torres,70.0,155.0,73.0,6.57,56,4.24,50,1.32,66,76,0.7,31.45242984257358
Taner Trembley,70.0,145.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,31.690622861054074
Justice Torres,67.0,145.0,66.0,0.79,22,8.29,53,5.92,50,0,0.0,28.88158795345654
Eduardo Torres Caut,67.0,135.0,70.0,1.1,34,1.24,65,2.06,33,50,0.0,31.364818617385353
Roberto Traven,75.0,227.0,72.0,0.92,50,2.77,57,0.0,0,0,0.0,57.97125256673511
Bryan Travers,70.0,155.0,72.0,2.33,48,3.93,55,2.0,28,63,0.0,43.40588637919233
Angelo Trevino,71.0,170.0,72.0,5.19,54,3.9,47,0.0,0,100,0.0,33.24024640657084
Alexander Trevino,70.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
