fighter_name,height,weight_lbs,reach_inches,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,age
Jeremy Jackson,70.0,170.0,72.0,0.71,27,2.03,25,1.52,40,58,0.0,43.964407939767284
Kevin Jackson,70.0,199.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,61.779603011635864
Yves Jabouin,67.0,135.0,68.0,3.06,41,2.93,62,1.94,60,82,0.1,47.27173169062286
Quinton Jackson,73.0,205.0,73.0,3.25,54,2.51,55,1.52,56,73,0.1,48.2135523613963
Kenyon Jackson,72.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Damon Jackson,71.0,155.0,71.0,2.96,42,3.47,49,2.3,32,37,1.2,38.078028747433265
Eugene Jackson,68.0,185.0,72.0,2.19,33,3.44,32,1.91,71,16,2.3,59.95345653661875
Mike Jackson,74.0,170.0,74.0,4.49,57,3.73,62,0.71,33,88,0.0,41.45927446954141
Jason Jackson,73.0,170.0,78.0,2.24,48,1.31,56,0.0,0,0,0.0,35.85215605749487
Richard Jacobi,76.0,260.0,75.0,0.88,44,3.94,51,3.28,100,100,0.0,32.93908281998631
Eric Jacob,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Justin James,70.0,155.0,72.0,1.34,36,2.68,50,0.0,0,50,1.6,49.82614647501711
Montel Jackson,70.0,135.0,75.0,3.02,52,1.4,60,2.71,63,67,0.3,34.36824093086927
Dave Jansen,69.0,155.0,73.0,2.94,33,3.67,58,2.79,28,38,0.9,47.044490075290895
Nate James,72.0,185.0,72.0,1.33,42,2.67,28,0.0,0,44,0.0,48.27378507871321
Gigo Jara,69.0,145.0,72.0,2.26,57,2.71,51,0.0,0,66,0.0,39.59753593429158
Jaime Jara,73.0,205.0,72.0,2.2,60,1.47,56,0.0,0,25,0.0,57.09514031485284
Brock Jardine,71.0,170.0,72.0,1.06,30,3.34,56,0.0,0,14,0.8,41.158110882956876
Keith Jardine,74.0,185.0,76.0,3.25,36,2.98,59,1.18,45,62,0.7,50.85010266940452
Josh Jarvis,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
YunSeong Jang,72.0,170.0,72.0,2.53,41,4.13,51,2.0,50,90,0.0,23.838466803559207
Rony Jason,67.0,145.0,73.0,2.04,44,3.14,53,0.59,30,36,0.8,42.46132785763176
Dustin Jacoby,75.0,205.0,76.0,5.31,47,4.02,57,0.3,25,62,0.0,38.42299794661191
Virna Jandiroba,63.0,115.0,64.0,2.27,41,2.86,55,3.13,39,72,1.4,38.26967830253251
Louis Jauregui,67.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Jasmine Jasudavicius,67.0,125.0,68.0,3.47,44,3.46,51,2.63,46,75,0.5,37.516769336071185
Ryan Janes,75.0,185.0,76.0,7.69,48,5.53,59,0.35,100,58,0.0,45.040383299110196
Josh Janousek,71.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,45.946611909650926
Aaron Jeffery,74.0,185.0,73.0,3.1,45,4.46,34,0.0,0,50,0.0,33.80971937029432
Justin Jaynes,67.0,145.0,68.0,3.34,44,5.33,62,0.75,40,20,1.1,37.073237508555785
Milos Janicic,71.0,155.0,71.0,4.44,31,3.7,54,0.0,0,0,0.0,29.34428473648186
Yazmin Jauregui,63.0,115.0,64.0,6.64,39,5.25,54,0.0,0,100,0.0,27.520876112251884
Bubba Jenkins,67.0,145.0,72.0,2.41,37,1.58,67,7.23,68,100,0.0,38.5845311430527
Adrienna Jenkins,68.0,145.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,45.125256673511295
Trent Jenkins,74.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Brandon Jenkins,72.0,155.0,71.0,2.93,41,8.05,33,0.0,0,27,0.0,34.93497604380561
Joanna Jedrzejczyk,66.0,115.0,65.0,6.28,48,3.25,62,0.27,62,80,0.1,39.05270362765229
Kyle Jensen,69.0,170.0,72.0,0.0,0,0.92,60,6.92,100,0,6.9,47.13210130047912
Steve Jennum,70.0,215.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,62.954140999315534
Jack Jenkins,67.0,145.0,68.0,4.48,61,2.95,59,1.98,60,71,0.2,32.84052019164955
Ryan Jensen,73.0,185.0,76.0,2.84,39,2.99,59,1.55,50,31,1.9,48.96098562628337
Art Jimmerson,73.0,196.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,63.09103353867214
Maciej Jewtuszko,72.0,155.0,72.0,2.29,45,1.39,66,0.0,0,42,0.9,45.596167008898014
Ramiro Jimenez,69.0,145.0,73.0,14.22,65,2.43,82,5.2,100,100,0.0,27.638603696098563
Chan-Mi Jeon,65.0,115.0,72.0,6.23,31,7.77,55,0.0,0,0,0.0,29.023956194387406
Ronald Jhun,71.0,170.0,72.0,1.45,57,3.01,50,1.81,100,100,0.0,55.95893223819302
Baergeng Jieleyisi,69.0,145.0,71.0,1.61,35,2.62,52,1.73,38,78,0.2,30.784394250513348
Jiniushiyue,68.0,125.0,68.0,2.7,44,2.53,48,2.26,53,50,0.0,25.741273100616016
Ryan Jimmo,73.0,205.0,73.0,3.12,66,2.77,46,0.45,28,87,0.0,44.77481177275838
Jinensibieke Asikeerbai,66.0,155.0,69.0,2.0,50,10.0,0,0.0,0,0,0.0,38.157426420260094
Sung Bin Jo,72.0,145.0,72.0,1.4,33,2.67,51,1.0,33,83,1.0,34.13826146475017
Gilbert Jimenez,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Carls John De Tomas,65.0,125.0,71.0,1.74,37,3.93,44,1.37,33,66,0.0,30.023271731690624
Brett Johns,67.0,135.0,71.0,2.86,49,3.84,53,4.92,49,58,1.0,34.54072553045859
Miles Johns,67.0,135.0,68.0,3.37,44,2.97,65,1.2,26,77,0.0,32.43805612594114
Anthony Johnson,74.0,205.0,78.0,3.25,47,1.83,60,2.43,57,77,0.6,42.502395619438744
DaMarques Johnson,73.0,170.0,75.0,2.11,37,3.75,51,1.18,55,19,0.7,44.19164955509925
Phil Johns,62.0,170.0,72.0,1.2,66,1.8,50,0.0,0,50,0.0,57.87268993839836
Ricky Johnson,68.0,145.0,72.0,1.83,25,6.3,36,0.0,0,0,0.0,39.59753593429158
Tony Johnson,74.0,205.0,76.0,4.0,92,3.67,22,0.0,0,90,0.0,43.34839151266256
Lavar Johnson,76.0,240.0,82.0,5.39,55,2.54,55,0.61,66,54,0.6,49.23750855578371
Deshaun Johnson,70.0,167.0,72.0,2.27,41,6.67,43,0.0,0,0,0.0,55.80835044490075
Demetrious Johnson,63.0,125.0,66.0,3.43,54,1.66,67,3.35,56,65,0.5,40.06570841889117
Devin Johnson,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Michael Johnson,70.0,155.0,73.0,4.27,39,3.78,58,0.57,38,81,0.0,40.257357973990416
Travis Johnson,70.0,205.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Kajan Johnson,71.0,155.0,75.0,2.47,42,1.59,64,1.54,37,62,0.2,42.37645448323067
Timothy Johnson,75.0,265.0,77.0,3.43,45,3.08,44,1.09,24,69,0.0,41.4839151266256
Dashon Johnson,67.0,145.0,72.0,1.01,69,3.83,35,0.85,33,63,0.8,38.614647501711154
Jordan Johnson,74.0,205.0,79.0,3.45,47,2.64,53,3.25,42,100,1.2,37.79876796714579
Taylor Johnson,72.0,185.0,74.0,5.09,60,1.13,33,8.49,100,100,0.0,35.82477754962355
Chad Johnson,74.0,230.0,80.0,5.92,68,7.8,40,0.0,0,0,0.0,40.12594113620808
Donte Johnson,68.0,185.0,74.0,3.11,48,2.0,61,2.0,100,75,0.7,27.613963039014372
Brian Johnston,75.0,230.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,58.10814510609172
Jose Johnson,72.0,125.0,71.0,2.27,57,1.61,53,0.69,60,41,0.7,31.299110198494184
Charles Johnson,69.0,125.0,70.0,4.54,49,3.88,55,0.47,16,66,0.4,35.65503080082136
Ben Johnston,76.0,185.0,76.0,1.01,75,1.01,29,2.54,100,100,0.0,35.90417522245038
Nikola Joksovic,70.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,31.98631074606434
Daniel Jolly,73.0,205.0,75.0,1.32,46,3.39,44,2.83,33,50,0.0,42.00684462696783
Paul Jones,69.0,199.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,63.22518822724162
Liana Jojua,64.0,125.0,62.0,2.42,30,5.32,54,1.71,66,50,1.3,31.460643394934976
Carlton Jones,73.0,225.0,72.0,2.32,41,3.58,56,4.02,50,57,2.7,39.59753593429158
Nathan Jones,83.0,345.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,56.04380561259411
Marcus Jones,78.0,265.0,72.0,1.94,52,2.71,58,8.71,75,0,2.9,53.059548254620125
Jon Jones,76.0,248.0,84.0,4.38,58,2.24,64,1.89,45,95,0.5,39.134839151266256
Tito Jones,68.0,145.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,45.100616016427104
Roy Jones,70.0,205.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,42.86379192334018
Jesse Jones,69.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Victor Jones,70.0,145.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Justin Jones,71.0,185.0,72.0,1.7,36,3.17,45,1.0,15,46,0.5,39.00068446269678
Ben Jones,70.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Roshaun Jones,68.0,135.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Chris Jones,69.0,149.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,44.80492813141684
Jamelle Jones,72.0,205.0,75.0,1.78,80,3.11,65,0.0,0,0,0.0,38.59822039698837
Mason Jones,70.0,155.0,74.0,5.98,42,4.45,50,3.48,55,73,0.2,31.364818617385353
Craig Jones,70.0,205.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,35.14031485284052
Antonio Jones,71.0,185.0,72.0,7.5,55,30.0,42,0.0,0,0,0.0,41.40177960301163
Trevin Jones,67.0,135.0,70.0,2.13,37,4.29,39,0.62,15,60,0.2,36.09034907597536
Jacobi Jones,69.0,155.0,72.0,5.87,46,7.6,48,0.0,0,33,0.0,30.286105407255306
Jocelyn Jones-Lybarger,67.0,115.0,64.0,2.96,31,4.83,56,0.34,25,81,0.0,40.92265571526352
Kevin Jordan,75.0,245.0,72.0,2.0,40,1.91,55,0.0,0,77,0.6,55.68240930869268
Joe Jordan,66.0,155.0,72.0,1.85,25,4.27,59,0.0,0,66,0.0,48.11225188227242
Shawn Jordan,72.0,260.0,75.0,2.87,50,3.3,47,1.97,38,76,0.1,41.87542778918549
Gareth Joseph,70.0,205.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,41.93839835728953
Ivan Jorge,69.0,155.0,73.0,3.41,49,2.91,59,1.56,16,75,0.6,45.828884325804246
Scott Jorgensen,65.0,135.0,66.0,3.37,40,3.41,65,2.61,45,59,0.7,43.969883641341546
Dwight Joseph,66.0,135.0,72.0,2.6,52,2.87,55,1.0,20,20,1.0,37.05681040383299
Jeff Joslin,72.0,170.0,72.0,2.17,39,1.57,65,0.5,33,64,0.5,51.35386721423682
Alan Jouban,72.0,170.0,73.0,5.67,50,3.77,60,0.51,44,58,0.3,44.780287474332646
Krzysztof Jotko,73.0,185.0,77.0,2.98,42,2.23,57,1.33,39,82,0.1,37.04859685147159
Louis Jourdain,69.0,135.0,69.0,7.32,49,2.44,54,0.0,0,66,1.4,29.4839151266256
Charles Jourdain,69.0,135.0,69.0,5.36,49,4.11,56,0.38,21,46,0.6,30.77618069815195
Dustin Joynson,78.0,244.0,78.0,3.28,53,5.63,47,0.0,0,0,0.0,40.8952772073922
Mike Joy,66.0,155.0,72.0,0.57,33,1.71,47,0.78,33,0,2.3,41.13620807665982
Kevin Jousset,74.0,170.0,75.0,6.61,51,6.49,50,0.69,40,100,0.3,33.347022587268995
Tony Juarez,70.0,155.0,72.0,0.89,25,10.34,38,4.43,100,66,0.0,39.59753593429158
Ernie Juarez,68.0,145.0,70.0,4.21,51,6.23,55,0.0,0,25,0.0,28.648870636550306
Jesse Juarez,73.0,170.0,72.0,1.71,48,2.87,52,2.69,33,50,0.0,45.3305954825462
Bu-Kyung Jung,67.0,154.0,72.0,0.63,36,1.85,56,1.1,75,0,1.5,48.28199863107461
Luke Jumeau,71.0,170.0,72.0,2.93,43,3.17,58,0.25,100,86,0.0,38.56536618754278
Steve Judson,71.0,230.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Anshul Jubli,72.0,155.0,69.0,6.42,46,5.72,50,0.81,18,63,0.4,31.64681724845996
Carli Judice,67.0,115.0,68.0,9.32,50,6.62,57,0.52,25,80,0.0,27.515400410677618
Reginaldo Junior,70.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,27.57015742642026
Young Sam Jung,68.0,139.0,72.0,0.53,9,2.79,63,0.0,0,0,2.0,40.85968514715948
Da Woon Jung,76.0,205.0,78.0,3.24,40,4.23,49,1.59,47,75,0.2,32.747433264887064
Chan Sung Jung,67.0,145.0,72.0,3.93,41,4.52,52,0.7,44,72,0.6,39.474332648870636
Dong Hyun Ma,71.0,155.0,70.0,2.84,41,4.1,54,1.27,53,33,0.0,37.99041752224504
Pawan Maan,67.0,155.0,70.0,0.89,44,2.98,43,0.0,0,0,0.0,40.41889117043121
Scott Junk,73.0,265.0,72.0,5.13,60,1.81,45,0.0,0,0,0.0,47.72073921971253
William Macario,71.0,170.0,75.0,4.92,54,3.96,65,1.85,45,78,0.0,35.18412046543463
Myles Jury,70.0,145.0,73.0,2.94,42,2.16,66,2.16,55,50,0.3,37.84804928131417
Cristiane Justino,68.0,145.0,68.0,7.28,52,2.25,64,0.66,55,94,0.4,41.16084873374401
Rob MacDonald,75.0,205.0,78.0,1.8,50,2.04,46,7.19,80,80,5.4,48.002737850787135
Jason MacDonald,75.0,185.0,80.0,1.55,52,2.7,46,1.43,16,35,2.0,51.26078028747433
Clayton MacFarlane,70.0,170.0,72.0,1.33,52,1.82,55,1.05,33,37,0.0,39.59753593429158
Ilima Macfarlane,64.0,125.0,72.0,4.13,43,2.93,65,0.0,0,50,1.0,39.59753593429158
Ryan MacDonald,71.0,135.0,71.0,2.28,29,6.49,45,0.0,0,0,0.0,33.47022587268994
Anthony Macias,69.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,57.57152635181382
Rory MacDonald,72.0,170.0,76.0,3.75,42,2.8,62,1.77,47,88,0.4,37.125256673511295
Valesca Machado,64.0,115.0,63.0,2.4,32,2.87,64,0.0,0,76,0.0,30.33538672142368
Caio Machado,76.0,250.0,78.0,5.82,53,2.87,63,0.0,0,82,0.0,32.13141683778234
Ian Machado Garry,75.0,170.0,74.0,4.78,54,2.86,52,0.92,31,80,0.4,28.802190280629706
Lyoto Machida,73.0,185.0,74.0,2.59,53,1.57,61,1.21,65,75,0.4,48.271047227926076
War Machine,71.0,170.0,72.0,2.32,60,3.17,43,1.16,50,40,0.0,44.766598220396986
Pauline Macias,64.0,115.0,64.0,0.8,29,4.6,42,2.0,18,0,0.0,38.19301848049281
Don Madge,72.0,155.0,72.0,2.08,52,0.74,67,2.22,25,80,0.7,35.81656399726215
Reza Madadi,71.0,155.0,73.0,2.51,46,3.31,66,3.17,33,89,0.5,48.2135523613963
Victor Madrigal,67.0,135.0,71.0,2.31,38,9.56,50,0.0,0,0,0.0,36.05749486652977
Ryan Madigan,72.0,170.0,72.0,0.0,0,3.35,47,0.0,0,0,0.0,39.59753593429158
Mark Madsen,68.0,155.0,72.0,3.56,49,3.97,52,2.86,66,62,0.0,41.95208761122519
Jon Madsen,72.0,240.0,72.0,2.46,41,1.18,81,1.32,71,70,0.0,46.56536618754278
Leonardo Mafra,70.0,155.0,70.0,4.55,48,4.38,43,2.12,83,69,0.4,37.36618754277892
Yoshiro Maeda,67.0,139.0,68.0,2.36,33,2.55,63,2.93,51,50,0.7,44.84873374401095
Vinicius Magalhaes,70.0,145.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,55.1047227926078
Vinny Magalhaes,75.0,205.0,75.0,2.14,24,3.97,68,1.55,44,66,0.8,42.17932922655715
Bernardo Magalhaes,69.0,155.0,72.0,1.8,27,3.37,68,0.0,0,0,0.5,45.412731006160165
Caio Magalhaes,73.0,185.0,73.0,2.27,40,2.78,56,1.05,15,58,1.6,38.729637234770706
Eric Magana,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Brandon Magana,70.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Ibragim Magomedov,72.0,250.0,72.0,0.26,4,3.86,42,0.0,0,0,0.0,51.24709103353867
Raimond Magomedaliev,73.0,170.0,75.0,4.07,41,4.75,41,0.0,0,0,0.0,36.24093086926762
Angela Magana,61.0,115.0,65.0,1.53,28,4.92,42,0.4,25,28,0.4,43.096509240246405
Rashid Magomedov,69.0,155.0,70.0,4.4,49,3.05,54,0.67,57,89,0.2,41.76865160848734
Ruslan Magomedov,75.0,242.0,78.0,4.02,47,1.47,66,0.33,100,88,0.0,39.7782340862423
Neil Magny,75.0,170.0,80.0,3.4,46,2.44,51,2.17,39,55,0.3,39.09377138945928
Abus Magomedov,74.0,185.0,78.0,3.06,48,3.34,56,2.5,59,100,0.6,36.01095140314853
Shara Magomedov,74.0,185.0,73.0,5.55,62,3.62,45,0.0,0,73,0.0,32.309377138945926
Murtazali Magomedov,69.0,145.0,70.0,4.83,48,2.07,81,5.17,50,0,5.2,27.030800821355236
Zabit Magomedsharipov,73.0,145.0,73.0,4.89,48,3.0,64,5.22,56,77,0.8,35.51813826146475
Lolohea Mahe,70.0,155.0,72.0,1.71,29,6.92,40,2.44,40,0,0.0,39.59753593429158
John Maguire,69.0,155.0,69.0,1.41,41,2.44,65,2.8,46,77,1.1,43.30184804928131
Bill Mahood,75.0,200.0,72.0,1.54,85,3.59,17,0.0,0,0,3.9,59.59479808350445
Michelle Maher,70.0,145.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Maheshate,72.0,155.0,71.0,3.96,31,5.96,51,0.0,0,47,0.0,26.765229295003422
Klayton Mai,69.0,125.0,72.0,1.53,42,1.02,63,3.83,100,0,7.7,39.76728268309377
Jennifer Maia,64.0,125.0,64.0,4.35,38,4.52,55,0.42,27,58,0.1,37.91649555099247
Nayara Maia,65.0,125.0,66.0,0.6,36,3.33,43,1.0,33,0,1.0,36.11772758384668
Demian Maia,73.0,170.0,72.0,1.8,43,2.07,63,2.49,24,61,1.0,48.832306639288156
Yilizhati Maimaitijiang,70.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Roshan Mainam,70.0,135.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Levan Makashvili,68.0,145.0,68.0,2.87,54,2.07,61,3.67,42,85,0.0,37.661875427789184
Aliev Makhmud,66.0,195.0,72.0,1.12,30,2.24,36,2.1,50,0,0.0,56.56125941136208
John Makdessi,68.0,155.0,68.0,5.52,49,4.15,68,0.0,0,86,0.0,41.34428473648186
Islam Makhachev,70.0,170.0,70.0,2.45,58,1.45,61,3.1,56,91,1.0,34.861054072553046
Zach Makovsky,64.0,125.0,64.0,1.94,43,2.24,62,3.71,30,56,0.3,43.383983572895275
Azat Maksum,67.0,125.0,70.0,2.75,27,4.25,52,3.5,31,85,0.2,31.592060232717316
Fabio Maldonado,73.0,205.0,75.0,5.29,58,4.31,53,0.44,57,61,0.6,46.47227926078029
Jeremy Malaterre,71.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.507186858316224
Nazareno Malegarie,68.0,155.0,72.0,3.87,34,3.27,69,1.0,33,0,0.0,40.309377138945926
Marvin Maldonado,66.0,135.0,72.0,0.87,56,3.47,43,0.0,0,20,0.0,39.59753593429158
Bea Malecki,69.0,135.0,74.0,6.84,46,6.96,62,0.0,0,78,1.1,35.03901437371663
Nate Maness,70.0,125.0,72.0,3.14,50,3.88,42,0.68,75,80,0.7,35.19507186858316
Carl Malenko,71.0,200.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,56.61327857631759
Jacob Malkoun,69.0,185.0,73.0,4.23,56,2.33,55,5.39,42,55,0.8,31.030800821355236
Dan Manasoiu,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Mike Malott,73.0,170.0,73.0,4.02,48,3.09,56,1.63,50,57,0.7,34.83093771389459
Gary Mangat,67.0,135.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Michael Mangan,70.0,155.0,72.0,1.94,33,4.52,46,19.35,50,100,0.0,39.59753593429158
George Mangos,68.0,145.0,69.0,1.36,54,0.27,76,0.0,0,33,1.6,23.04996577686516
Troy Mandaloniz,69.0,170.0,72.0,3.52,56,4.71,63,3.1,66,57,0.0,46.59548254620123
Melchor Manibusan,65.0,154.0,72.0,1.58,54,5.79,15,0.0,0,0,0.0,49.69199178644764
Jon Manley,73.0,170.0,72.0,1.13,20,4.33,45,1.0,7,20,0.0,40.167008898015055
Melvin Manhoef,69.0,185.0,72.0,3.52,48,2.64,51,0.33,25,78,0.0,50.32169746748802
Marnic Mann,60.0,115.0,64.0,1.47,41,5.08,31,1.9,33,25,0.4,33.50581793292265
Steve Mann,73.0,170.0,72.0,3.18,70,0.66,57,1.64,100,60,0.0,39.59753593429158
Jose Maria,65.0,125.0,72.0,3.2,53,3.98,52,2.32,27,33,2.3,44.67077344284736
Dylan Mantello,73.0,155.0,73.0,4.69,62,4.76,55,0.0,0,76,0.0,33.79603011635866
Chris Manuel,69.0,135.0,72.0,2.53,40,2.67,66,1.0,20,100,0.0,39.12936344969199
Jimi Manuwa,73.0,205.0,79.0,3.43,54,3.97,49,0.53,18,70,0.4,46.548939082819984
Dom Mar Fan,71.0,155.0,75.0,3.43,56,2.31,44,1.84,50,62,0.3,26.466803559206024
Cristiano Marcello,69.0,155.0,72.0,2.56,33,3.61,58,0.44,11,20,0.9,48.75838466803559
Marcos Mariano,73.0,155.0,76.0,0.25,27,2.11,43,0.0,0,28,0.0,39.90143737166324
Enrique Marin,70.0,170.0,72.0,1.43,33,3.0,50,2.5,38,60,1.0,40.01095140314853
Daniel Marcos,67.0,135.0,69.0,4.9,53,3.79,61,1.35,52,85,0.1,33.50034223134839
Ronny Markes,73.0,185.0,75.0,2.17,53,2.43,45,3.13,40,100,0.5,38.37645448323067
Chepe Mariscal,67.0,145.0,69.0,4.14,55,2.66,52,2.34,39,59,0.2,33.8590006844627
Rory Markham,72.0,170.0,71.0,1.98,21,10.27,45,0.0,0,0,0.0,44.4517453798768
Randa Markos,64.0,115.0,63.0,2.97,43,3.1,58,1.12,28,52,0.2,41.073237508555785
Christina Marks,67.0,125.0,69.0,5.0,58,3.0,64,7.5,100,0,0.0,40.82683093771389
Brendon Marotte,69.0,145.0,70.0,0.41,50,5.7,28,0.0,0,0,0.0,30.650239561943874
Danilo Marques,78.0,205.0,77.0,1.44,79,2.52,52,3.93,28,0,0.8,40.695414099931554
Nate Marquardt,72.0,185.0,74.0,2.71,49,2.32,55,1.87,51,70,0.8,47.38124572210815
Cesar Marscucci,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Carmelo Marrero,72.0,205.0,73.0,0.84,34,2.04,54,3.21,36,36,0.9,45.609856262833674
Julian Marquez,74.0,185.0,72.0,5.06,45,5.35,50,0.0,0,54,2.6,36.33127994524298
John Marsh,72.0,265.0,72.0,0.83,42,2.23,40,0.43,100,54,0.4,55.97535934291581
CJ Marsh,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Eliot Marshall,74.0,205.0,77.0,1.93,27,2.39,67,0.47,33,79,0.9,46.16563997262149
Doug Marshall,70.0,205.0,72.0,6.99,46,4.02,60,0.0,0,66,2.4,50.992470910335385
David Marshall,74.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,42.03422313483915
Francis Marshall,69.0,155.0,72.0,3.19,34,3.45,55,2.71,47,88,0.5,27.512662559890487
Jack Marshman,72.0,185.0,73.0,2.74,25,4.19,56,0.0,0,20,0.0,36.714579055441476
Terry Martin,68.0,185.0,71.0,2.82,43,3.13,54,3.1,42,92,0.0,45.90554414784394
Mallory Martin,64.0,115.0,63.0,4.42,48,6.64,55,2.28,43,25,0.3,32.602327173169066
Michal Martinek,74.0,230.0,72.0,2.45,53,4.29,51,0.0,0,0,0.0,36.38329911019849
Eric Martin,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Justin Martin,72.0,185.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Dave Martin,72.0,205.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Ozzy Martin,70.0,170.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,23.967145790554415
Joe Martin,69.0,170.0,72.0,0.73,40,2.4,45,0.0,0,16,0.0,39.59753593429158
Anthony Rocco Martin,72.0,170.0,73.0,2.68,37,2.59,58,0.71,27,68,1.0,36.73648186173853
Adrian Luna Martinetti,68.0,135.0,71.0,8.8,58,9.3,47,2.0,33,100,0.0,31.04722792607803
Danny Martinez,66.0,125.0,67.0,2.73,28,3.77,63,3.0,45,36,0.0,41.229295003422315
Alonzo Martinez,70.0,155.0,72.0,3.07,27,7.33,52,0.0,0,0,0.0,42.37371663244353
Rainy Martinez,72.0,199.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Henry Martinez,67.0,155.0,69.0,2.79,25,4.01,60,0.0,0,80,0.0,43.082819986310746
Poppies Martinez,69.0,145.0,72.0,2.88,50,2.16,51,1.54,33,50,9.2,43.04996577686516
Jonathan Martinez,68.0,135.0,70.0,4.44,49,4.09,56,0.38,35,68,0.1,32.380561259411365
Mana Martinez,70.0,135.0,70.0,4.33,48,4.94,50,0.72,42,25,0.5,30.45037645448323
Melissa Martinez,62.0,115.0,66.0,3.78,47,5.21,53,0.35,50,50,0.0,29.05133470225873
Roque Martinez,70.0,250.0,72.0,3.28,53,4.9,56,0.38,50,53,0.4,40.50924024640657
Victor Martinez,67.0,155.0,70.0,7.53,51,7.75,52,0.67,33,80,0.0,35.14031485284052
Julieta Martinez,61.0,115.0,62.0,2.53,44,3.6,41,5.0,45,100,0.0,21.976728268309376
Wagner da Conceicao Martins,79.0,390.0,72.0,1.91,37,5.43,42,2.2,100,100,0.0,48.30116358658453
David Martinez,65.0,135.0,67.0,4.82,46,2.9,69,0.6,25,100,0.0,28.093086926762492
Lucas Martins,72.0,145.0,72.0,2.87,35,4.14,60,0.0,0,76,0.5,37.817932922655714
Adriano Martins,70.0,155.0,72.0,1.8,38,2.14,65,0.83,80,81,0.4,43.723477070499655
Max Martyniouk,70.0,155.0,72.0,0.0,0,0.0,0,0.0,0,0,0.0,39.59753593429158
Bristol Marunde,73.0,170.0,75.0,1.42,21,4.4,47,1.6,33,14,0.0,44.380561259411365
Andrew Martinez,69.0,215.0,72.0,3.4,31,2.3,47,1.5,50,0,0.0,39.59753593429158
Shoji Maruyama,67.0,139.0,72.0,1.4,63,0.27,55,0.0,0,54,0.0,43.370294318959616
Kazuma Maruyama,71.0,155.0,72.0,3.83,41,2.23,53,4.79,33,100,0.0,34.13278576317591
